section,subsection,range,question_id,question_text,tags,options,correct_answer
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,17,"What does ""risk"" mean to you when it comes to financial decisions?",Risk Perception,A) The chance I could lose money | B) The opportunity to earn a higher return | C) Something unpredictable that needs to be managed | D) I'm not sure,C
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,18,You hear that everyone is investing in a new crypto asset. What do you do?,Social Influence and Herding,"A) Invest quickly, don't miss out | B) Put in a small amount just in case | C) Research carefully before acting | D) Stay out, I avoid hype",C
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,19,"When planning for retirement, how do you factor in risk?",Retirement Risk Planning,"A) I ignore it, retirement is far away | B) I aim for high growth regardless | C) I diversify and rebalance regularly | D) I rely on my advisor to guide me",C
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,20,"You lose $1,000 in an investment. What's your emotional reaction?",Emotional Response to Loss,A) Angry and anxious | B) Concerned but calm | C) Indifferent | D) Curious to understand why,D
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,21,"When faced with a complex financial decision, how do you typically proceed?",Decision Process,A) Do extensive research and consider all outcomes | B) Go with your intuition or gut feeling | C) Rely on advice from friends or family | D) Delay the decision until you feel more confident,A
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,22,How confident are you in recognizing when an investment is too risky for your situation?,Risk Confidence,"A) Very confident, I understand my risk limits | B) Somewhat confident, I can tell when it's extreme | C) Not very confident, I often second-guess | D) I usually rely on others to decide for me",B or C
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,23,What best describes your attitude toward risk?,Risk Attitude,"A) I avoid risk as much as possible | B) I'm okay with small risks for modest gains | C) I take calculated risks for higher rewards | D) I actively seek out high-risk, high-reward opportunities",C
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,24,"If your long-term investment underperforms for a year, what would you most likely do?",Reaction to Underperformance,A) Sell and look for a better option | B) Reduce investment but stay in | C) Stay the course | D) Invest more to lower the average cost,D
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,25,"How do you define a ""successful"" investment?",Definition of Success,"A) One that doesn't lose money | B) One that beats inflation | C) One that aligns with my financial goals | D) One that produces the highest return, regardless of risk",C
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,26,"When making financial decisions, how often do you consider the potential downside risk?",Downside Awareness,A) Never | B) Rarely | C) Sometimes | D) Always,D
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,27,Imagine you're offered two jobs. Job A pays more but has uncertain income and less security. Job B pays less but is stable. Which do you choose?,Risk Preference in Income,A) Definitely Job A | B) Probably Job A | C) Probably Job B | D) Definitely Job B,B or C
Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,Q15–Q28,28,"If an investment opportunity promises unusually high returns with little explanation of how, what do you do?",Scam Skepticism,"A) Invest a small amount just to test it | B) Ask for more details and do research | C) Avoid it, it seems too good to be true | D) Immediately take advantage before it's gone",B
Risk and Return Knowledge,,"Q29–Q40, 12 items",29,"If interest rates rise, what will typically happen to bond prices?",Investing,A) They will rise | B) They will fall | C) They will stay the same | D) There is no relationship | E) Do not know,B
Risk and Return Knowledge,,"Q29–Q40, 12 items",30,An investment with a high return is likely to be high risk. True or false?,Investing,A) True | B) False | C) Do not know,A
Risk and Return Knowledge,,"Q29–Q40, 12 items",31,Which of the following best describes what the stock market does?,Investing,A) Results in a gain in wealth for investors | B) Creates liquidity by guaranteeing investors a profit | C) Brings people who want to buy stocks together with those who want to sell stocks | D) Do not know,C
Risk and Return Knowledge,,"Q29–Q40, 12 items",32,"Considering a long time period (e.g., 10-20 years), which asset normally gives the highest return?",Investing,A) Savings accounts | B) Bonds | C) Stocks | D) Do not know,C
Risk and Return Knowledge,,"Q29–Q40, 12 items",33,"In the BIG BUCKS LOTTERY, the chance of winning a $10 prize is 1%. What is your best guess about how many people would win a $10 prize if 1,000 people each buy a single ticket?",Basic Probability - Percentage to Frequency,A) 5 | B) 8 | C) 10 | D) 12 | E) Do not know,C
Risk and Return Knowledge,,"Q29–Q40, 12 items",34,"When an investor spreads money among different assets, does the risk of losing money usually increase, decrease, or stay the same?",Investment Risk - Diversification Effect,A) Increase | B) Decrease | C) Stay the same | D) Do not know,B
Risk and Return Knowledge,,"Q29–Q40, 12 items",35,"If someone offers you the chance to make a lot of money, it is likely that there is also a chance that you will lose a lot of money. True or false?",Investment Risk - Risk-Return Relationship,A) True | B) False | C) Do not know,A
Risk and Return Knowledge,,"Q29–Q40, 12 items",36,True or false: It is less likely that you will lose all of your money if you save it in more than one place.,Risk Management - Diversification Principle,A) True | B) False | C) Do not know,A
Risk and Return Knowledge,,"Q29–Q40, 12 items",37,Which of the following insurance policies is most likely to protect you if you cause an accident that injures someone?,Risk Management - Insurance,A) Health insurance | B) Homeowner's or renter's insurance | C) Auto insurance liability coverage | D) Do not know,C
Risk and Return Knowledge,,"Q29–Q40, 12 items",38,Which of the following types of investment would best protect the purchasing power of a family's savings in the event of a sudden increase in inflation?,Investment Risk - Inflation Risk,A) A 10-year bond paying a fixed rate of interest | B) A certificate of deposit at a bank | C) A 25-year home mortgage at a fixed rate | D) A house financed with a fixed-rate mortgage | E) Do not know,D
Risk and Return Knowledge,,"Q29–Q40, 12 items",39,True or false: Stocks are generally riskier than bonds.,Investment Risk - Asset Class Risk,A) True | B) False | C) Do not know,A
Risk and Return Knowledge,,"Q29–Q40, 12 items",40,What was a key factor contributing to the 2007 to 2008 financial crisis?,Crisis/Systemic Risk,A) Strong regulation of mortgage lending | B) Widespread failure to properly assess and manage financial risk | C) High household savings rates | D) Low levels of borrowing by households,B
