attempt_id,submission_type,item_id,question_stem,domain,subdomain,response_type,student_answer,score,confidence,answered_at
06915e57-438e-4e87-aaa3-f410aa0a7139,pre,Q10_Open_Diagnose,"You were asked: Which statement about credit reports is FALSE? Options were A) Employers use them to screen applicants, B) They include a credit worthiness assessment, C) They are provided by a single source. You answered [student's answer] with high confidence, indicating you thought that statement was false. In 1-2 sentences, explain your reasoning.",Borrowing & Credit,Credit Reports,diagnose,"The page explains that credit reports come from multiple major bureaus, each maintaining its own file. In contrast, it notes that employers can use reports in screening and that reports are used to assess creditworthiness, so those two statements are true. This is why I chose \""They are provided by a single source\"".",50.00,2,2026-02-03 23:54:38.4226+00
06915e57-438e-4e87-aaa3-f410aa0a7139,pre,Q37_Open_Diagnose,"You were asked: Which insurance protects you if you cause an accident that injures someone? Options were A) Health insurance, B) Homeowner's insurance, C) Auto liability coverage. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Insurance Types,diagnose,"Auto liability coverage is the insurance designed to pay for injuries you cause to others in an accident. Health and homeowner's insurance don't cover harm you cause while driving, so this wouldn't fit this scenario and is why this was my answer.",50.00,2,2026-02-03 23:54:38.4226+00
06ef65a2-723a-445e-ae3b-e6b49dca14b8,pre,Q29_Open_Diagnose,"You were asked: If interest rates rise, what typically happens to bond prices? Options were A) They rise, B) They fall, C) They stay the same, D) No relationship. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Interest Rates & Bonds,diagnose,they also rise becuase the market all works as one,50.00,3,2026-02-03 00:59:03.994948+00
06ef65a2-723a-445e-ae3b-e6b49dca14b8,pre,Q32_Open_Diagnose,"You were asked: Over a long time period (10-20 years), which asset normally gives the highest return? Options were A) Savings accounts, B) Bonds, C) Stocks. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Long-Term Asset Returns,diagnose,stocks cause the market all usually rises high,50.00,3,2026-02-03 00:59:41.30269+00
06ef65a2-723a-445e-ae3b-e6b49dca14b8,pre,Q38_Open_Confirm,"You were asked which investment best protects purchasing power during sudden high inflation. You answered ""a house financed with a fixed-rate mortgage,"" which is correct. In 1-2 sentences, explain why this protects against inflation.",Investment & Risk,Inflation Protection,confirm,Because houses are large assets that raise in value and can be sold at anytime.,50.00,3,2026-02-03 01:00:28.552103+00
07cd4570-8474-462d-ba38-c17f23fef827,pre,Q11_Open_Diagnose,"You were asked: Is buying a single company's stock usually safer than a stock mutual fund? True or false? You answered ""True"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Risk Management,Diversification (Stock vs Fund),diagnose,"I actually changed my answer now, buying a single company's stock is riskier because it lacks any diversity of a mutual fund would have. Spreading money is safer for potential high risks. ",50.00,3,2026-02-02 20:00:40.888206+00
07cd4570-8474-462d-ba38-c17f23fef827,pre,Q7_Open_Diagnose,"You were asked: Which group would have the greatest problem during periods of high inflation? Options were A) Young working couples, B) Older working couples saving for retirement, C) Retirees on a fixed income. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Inflation (Fixed Income),diagnose,"I answered retirees on fixed income because high inflation causes problems when purchasing items on just fixed income. Their money will buy less, making it harder to afford their daily costs of living. ",50.00,3,2026-02-02 19:58:59.41365+00
091492b7-3002-49ff-ad21-cc5a16468e42,pre,Q2_Open_Diagnose,"You were asked: A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less. True or false? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Borrowing/Mortgages,diagnose,"The longer you have to pay a loan off, the longer the interest builds which leads to you paying more.",50.00,3,2026-02-09 03:29:44.665451+00
091492b7-3002-49ff-ad21-cc5a16468e42,pre,Q32_Open_Diagnose,"You were asked: Over a long time period (10-20 years), which asset normally gives the highest return? Options were A) Savings accounts, B) Bonds, C) Stocks. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Long-Term Asset Returns,diagnose,"Bonds will return the greatest as they are safe and consistent sources of investment. Keeping money in savings leads to extremely little growth, stocks aren't safe, so bonds are the most safe option to yield the highest return.",50.00,3,2026-02-09 03:32:37.961584+00
091492b7-3002-49ff-ad21-cc5a16468e42,pre,Q40_Open_Diagnose,"You were asked: What was a key factor in the 2007-2008 financial crisis? Options were A) Strong regulation, B) Failure to manage risk, C) High savings rates, D) Low borrowing. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,2008 Financial Crisis,diagnose,There was too much allowance on borrowing which led to the crash of major financial institutions and the market,50.00,3,2026-02-09 03:31:08.858514+00
0a81d469-3183-4345-91ab-396accc4aa21,pre,Q11_Open_Diagnose,"You were asked: Is buying a single company's stock usually safer than a stock mutual fund? True or false? You answered ""True"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Risk Management,Diversification (Stock vs Fund),diagnose,That is what they told me in high school.,50.00,2,2026-02-02 17:16:21.033489+00
0a81d469-3183-4345-91ab-396accc4aa21,pre,Q2_Open_Diagnose,"You were asked: A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less. True or false? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Borrowing/Mortgages,diagnose,"I am not sure the reasoning, I just heard it somewhere.",50.00,3,2026-02-02 17:15:48.681072+00
0a81d469-3183-4345-91ab-396accc4aa21,pre,Q3_Open_Diagnose,"You were asked: High inflation means that the cost of living is increasing rapidly. True or false? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Inflation,diagnose,I meant to answer true because it would increase cost of living. ,50.00,2,2026-02-02 17:15:17.811891+00
0aa678d0-2bf4-42ed-992f-daf67332cb9f,pre,Q38_Open_Diagnose,"You were asked: Which investment best protects purchasing power during sudden high inflation? Options were A) 10-year fixed bond, B) Bank CD, C) 25-year fixed mortgage (debt), D) House with fixed mortgage. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Inflation Protection,diagnose,I chose D because an increase in the price of your house is good for the owner. ,50.00,3,2026-02-06 02:38:10.429067+00
0aa678d0-2bf4-42ed-992f-daf67332cb9f,pre,Q3_Open_Diagnose,"You were asked: High inflation means that the cost of living is increasing rapidly. True or false? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Inflation,diagnose,I was wrong.,50.00,3,2026-02-06 02:35:21.508832+00
0ab34ef6-8eb9-4b26-a142-36ffa97e7738,pre,Q10_Open_Confirm,"You were asked which statement about credit reports is FALSE. You correctly identified that ""your credit report is provided by a single source"" is false. In 1-2 sentences, explain why this statement is false.",Borrowing & Credit,Credit Reports,confirm,There are multiple sources when it comes to credit sources.,50.00,3,2026-02-08 00:14:56.742401+00
0ab34ef6-8eb9-4b26-a142-36ffa97e7738,pre,Q1_Open_Confirm,"You were asked: If you put $100 in a savings account at 2% annual interest, how much would you have after 5 years? You answered ""More than $102,"" which is correct. In 1-2 sentences, explain why the amount is more than $102.",Borrowing & Credit,Compound Interest,confirm,"because the interest in compounded annually, so you will make more than 102 dollars.",50.00,3,2026-02-08 00:15:39.618461+00
0ab34ef6-8eb9-4b26-a142-36ffa97e7738,pre,Q36_Open_Diagnose,"You were asked: Is it less likely you'll lose all your money if you save it in more than one place? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Diversification Principle,diagnose,Diversifying your portfolio can help lower the risk of losing money. your money is allocated in different places giving you a better chance to lose and win.,50.00,2,2026-02-08 00:13:58.990288+00
0b304a66-f328-4307-9f0a-a0c87b85be97,pre,Q39_Open_Diagnose,"You were asked: Are stocks generally riskier than bonds? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Stocks vs Bonds Risk,diagnose,"I guessed, i’m not sure ",50.00,1,2026-02-07 20:27:46.211912+00
0b304a66-f328-4307-9f0a-a0c87b85be97,pre,Q7_Open_Confirm,"You were asked which group has the greatest problem during high inflation. You answered ""retirees living on a fixed income,"" which is correct. In 1-2 sentences, explain why fixed-income retirees struggle most during inflation.",Borrowing & Credit,Inflation (Fixed Income),confirm,They might not be able to afford items that would be priced higher than before ,50.00,1,2026-02-07 20:28:01.083639+00
0b304a66-f328-4307-9f0a-a0c87b85be97,pre,Q8_Open_Confirm,"You were asked what Jayden can negotiate when getting an auto loan. You answered ""both interest rate and down payment,"" which is correct. In 1-2 sentences, explain why it's possible to negotiate these terms.",Borrowing & Credit,Auto Loans,confirm,"I’m not sure, i guessed",50.00,1,2026-02-07 20:28:46.090009+00
0cc82311-eb36-4ab8-b25c-c1c91007cf03,pre,Q12_Open_Diagnose,"You were asked: What is the primary function of health insurance? Options were A) Protect against large unexpected bills, B) Cover routine health care, C) Pay for elective procedures. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Risk Management,Health Insurance Purpose,diagnose,"a because, these large unexpected bills protect high-cost unexpected health issues. ",50.00,3,2026-02-03 19:57:31.83129+00
0cc82311-eb36-4ab8-b25c-c1c91007cf03,pre,Q36_Open_Diagnose,"You were asked: Is it less likely you'll lose all your money if you save it in more than one place? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Diversification Principle,diagnose,"false because diversification of assets reduces risk, therefore spreading money across different investments allows you not fail through just one investments. ",50.00,3,2026-02-03 19:57:31.83129+00
0cc82311-eb36-4ab8-b25c-c1c91007cf03,pre,Q9_Open_Diagnose,"You were asked: What is the primary advantage of making a household budget? Options were A) Ensures funds for bills and saving, B) Reduces your taxes, C) Increases investment returns. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Budgeting,diagnose,"a because, it ensures funds for bills and saving. this systemanic approach helps manage money effectively and avoid financial shortages. ",50.00,3,2026-02-03 19:57:31.83129+00
0ccf2d1e-e680-4853-824a-932586744d59,pre,Q12_Open_Diagnose,"You were asked: What is the primary function of health insurance? Options were A) Protect against large unexpected bills, B) Cover routine health care, C) Pay for elective procedures. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Risk Management,Health Insurance Purpose,diagnose,"The answer is A because health insurance gives you peace of mind that if something large were to happen, like having to go to the ER or being in a car crash, you would be taken care of. It is better to pay monthly for health insurance, even if nothing large ever happens, because without it, you'd face a very large bill.",50.00,3,2026-02-06 17:53:14.714167+00
0ccf2d1e-e680-4853-824a-932586744d59,pre,Q33_Open_Diagnose,"You were asked: If 1,000 people buy lottery tickets with a 1% chance of winning, how many winners would you expect? Options were A) 5, B) 8, C) 10, D) 12. You answered [student's answer] with high confidence. In 1-2 sentences, explain how you arrived at that answer.",Investment & Risk,Probability (% to Count),diagnose,There will be 10 winners because 1% of 1000 is 10,50.00,3,2026-02-06 17:56:35.071458+00
0ccf2d1e-e680-4853-824a-932586744d59,pre,Q35_Open_Diagnose,"You were asked: If someone offers you the chance to make a lot of money, is there also likely a chance you could lose a lot? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Risk-Return Relationship,diagnose,I answered false because a high potential gain does not automatically mean a high potential risk. Some opportunities have a limited risk with a large gain.,50.00,3,2026-02-06 17:54:39.706475+00
0d4491f5-5061-44d2-95fa-005238e774d9,pre,Q10_Open_Diagnose,"You were asked: Which statement about credit reports is FALSE? Options were A) Employers use them to screen applicants, B) They include a credit worthiness assessment, C) They are provided by a single source. You answered [student's answer] with high confidence, indicating you thought that statement was false. In 1-2 sentences, explain your reasoning.",Borrowing & Credit,Credit Reports,diagnose,"Both reasons A and B are true because credit score shows how reliable you are to the employer as well as how likely you would be to make the payment on time and to the full amount. C is false because credit reports are not provided by a single source, but take your credit history from all the times you have needed to pay an amount back. ",50.00,3,2026-02-02 17:05:29.063899+00
0d4491f5-5061-44d2-95fa-005238e774d9,pre,Q12_Open_Diagnose,"You were asked: What is the primary function of health insurance? Options were A) Protect against large unexpected bills, B) Cover routine health care, C) Pay for elective procedures. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Risk Management,Health Insurance Purpose,diagnose,Health care does all the things listed but its most primary function is to cover routine health care because these can be costly and are done many times a year.,50.00,3,2026-02-02 17:10:44.523067+00
0d4491f5-5061-44d2-95fa-005238e774d9,pre,Q8_Open_Diagnose,"You were asked: What can Jayden likely negotiate with an auto loan lender? Options were A) Interest rate only, B) Down payment only, C) Both, D) Neither. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Auto Loans,diagnose,I answered that the only thing Jayden can negotiate is the downpayment. This is because the interest rates are based on time and amount so they are fixed and cannot be negotiated. ,50.00,3,2026-02-02 17:08:29.224326+00
0d9d026b-9657-4a81-8abb-11af8721f27a,pre,Q29_Open_Confirm,"You were asked what happens to bond prices when interest rates rise. You answered ""they fall,"" which is correct. In 1-2 sentences, explain why bond prices fall when interest rates rise.",Investment & Risk,Interest Rates & Bonds,confirm,not sure,50.00,1,2026-02-06 23:51:28.158938+00
0d9d026b-9657-4a81-8abb-11af8721f27a,pre,Q31_Open_Diagnose,"You were asked: What does the stock market do? Options were A) Results in gains for investors, B) Guarantees investors a profit, C) Brings buyers and sellers together. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Stock Market Function,diagnose,Investing can result in gains,50.00,2,2026-02-06 23:50:46.491433+00
0d9d026b-9657-4a81-8abb-11af8721f27a,pre,Q6_Open_Diagnose,"You were asked: A successful effort to lower inflation would likely be accompanied by which of the following? Options were A) A decrease in the general level of prices, B) A slower increase in prices, C) An increase in employment. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Inflation (Lowering),diagnose,Prices would hopefully go down as inflation goes down,50.00,3,2026-02-06 23:50:26.839538+00
0e63762f-717f-43e1-9b2f-c7b65360e15c,pre,Q10_Open_Diagnose,"You were asked: Which statement about credit reports is FALSE? Options were A) Employers use them to screen applicants, B) They include a credit worthiness assessment, C) They are provided by a single source. You answered [student's answer] with high confidence, indicating you thought that statement was false. In 1-2 sentences, explain your reasoning.",Borrowing & Credit,Credit Reports,diagnose,I don’t know sorry 🫵🫵,50.00,3,2026-02-04 17:55:30.494961+00
0e63762f-717f-43e1-9b2f-c7b65360e15c,pre,Q11_Open_Diagnose,"You were asked: Is buying a single company's stock usually safer than a stock mutual fund? True or false? You answered ""True"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Risk Management,Diversification (Stock vs Fund),diagnose,I don’t know,50.00,3,2026-02-04 17:55:43.362997+00
0e63762f-717f-43e1-9b2f-c7b65360e15c,pre,Q2_Open_Diagnose,"You were asked: A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less. True or false? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Borrowing/Mortgages,diagnose,I don’t knoe,50.00,3,2026-02-04 17:55:17.749608+00
0e772312-37bf-4e02-ae51-b50abee7a7a0,pre,Q6_Open_Diagnose,"You were asked: A successful effort to lower inflation would likely be accompanied by which of the following? Options were A) A decrease in the general level of prices, B) A slower increase in prices, C) An increase in employment. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Inflation (Lowering),diagnose,"I chose A because as inflation slows, there is less money in the economy/world, so things have to be cheaper to adjust to the amount of money avaliable. ",50.00,2,2026-02-03 20:59:28.331206+00
0edf2904-28ee-41cb-a865-2ebb4b8270dd,pre,Q11_Open_Diagnose,"You were asked: Is buying a single company's stock usually safer than a stock mutual fund? True or false? You answered ""True"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Risk Management,Diversification (Stock vs Fund),diagnose,I believe it is safer to buy a single company's stock,50.00,2,2026-02-04 18:56:28.414188+00
0edf2904-28ee-41cb-a865-2ebb4b8270dd,pre,Q12_Open_Diagnose,"You were asked: What is the primary function of health insurance? Options were A) Protect against large unexpected bills, B) Cover routine health care, C) Pay for elective procedures. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Risk Management,Health Insurance Purpose,diagnose,Most people have health insurance to cover everyday routines that would be otherwise expensive ,50.00,2,2026-02-04 18:57:30.331113+00
0edf2904-28ee-41cb-a865-2ebb4b8270dd,pre,Q6_Open_Diagnose,"You were asked: A successful effort to lower inflation would likely be accompanied by which of the following? Options were A) A decrease in the general level of prices, B) A slower increase in prices, C) An increase in employment. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Inflation (Lowering),diagnose,I answered I do not know because I do not know. ,50.00,3,2026-02-04 18:55:54.15564+00
0f0f0b44-2802-462a-b7a3-bb3e127685cd,pre,Q8_Open_Diagnose,"You were asked: What can Jayden likely negotiate with an auto loan lender? Options were A) Interest rate only, B) Down payment only, C) Both, D) Neither. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Auto Loans,diagnose,The interest rate is set.,50.00,2,2026-02-05 22:37:29.356083+00
0fa82589-13e1-40f1-bc4f-cd31d90bb32b,pre,Q11_Open_Confirm,"You were asked whether buying a single company's stock is safer than a stock mutual fund. You answered ""False,"" which is correct. In 1-2 sentences, explain why a mutual fund is generally safer than a single stock.",Risk Management,Diversification (Stock vs Fund),confirm,A mutual fund is generally safe than a single stock because of diversification,50.00,1,2026-02-06 19:20:50.699964+00
0fa82589-13e1-40f1-bc4f-cd31d90bb32b,pre,Q2_Open_Confirm,"You were asked whether a 15-year mortgage has higher monthly payments but lower total interest than a 30-year mortgage. You answered ""True,"" which is correct. In 1-2 sentences, explain why total interest is lower on the shorter mortgage.",Borrowing & Credit,Borrowing/Mortgages,confirm,the total interest is lower on the shorter mortgage because the principal balance is paid down faster.,50.00,1,2026-02-06 19:19:55.462451+00
0fa82589-13e1-40f1-bc4f-cd31d90bb32b,pre,Q3_Open_Confirm,"You were asked whether high inflation means the cost of living is increasing rapidly. You answered ""True,"" which is correct. In 1-2 sentences, explain what inflation means and how it affects everyday life.",Borrowing & Credit,Inflation,confirm,"inflation is the increase of goods and services in our economy. This affects everyday life because our money buys less, for example, we cannot pay what we usually do for our daily necessities.",50.00,1,2026-02-06 19:17:10.885058+00
104f41b3-cbba-4da9-a6ab-36e16c07c829,pre,Q29_Open_Confirm,"You were asked what happens to bond prices when interest rates rise. You answered ""they fall,"" which is correct. In 1-2 sentences, explain why bond prices fall when interest rates rise.",Investment & Risk,Interest Rates & Bonds,confirm,"They fall because higher interest rates fuels new bonds. To maintain relevancy, the bond prices must drop ",50.00,2,2026-02-09 05:23:23.19219+00
104f41b3-cbba-4da9-a6ab-36e16c07c829,pre,Q35_Open_Confirm,"You were asked whether opportunities to make a lot of money also come with chances to lose a lot. You answered ""True,"" which is correct. In 1-2 sentences, explain why high reward opportunities typically involve high risk.",Investment & Risk,Risk-Return Relationship,confirm,High reward opportunities usually come with high levels in entry. This may mean you need to spend a excess amount of money for the chance of multiplying that wealth.,50.00,3,2026-02-09 05:21:49.339848+00
107dd88d-99f8-4742-ba00-08aa1e6f9cde,pre,Q40_Open_Confirm,"You were asked about a key factor in the 2007-2008 financial crisis. You answered ""widespread failure to properly assess and manage financial risk,"" which is correct. In 1-2 sentences, explain how poor risk management contributed to the crisis.",Investment & Risk,2008 Financial Crisis,confirm,Poor risk managemenet contributed to this crisis because people took too much risk and never saved in case things were going to happen.,50.00,2,2026-02-03 21:24:27.612037+00
107dd88d-99f8-4742-ba00-08aa1e6f9cde,pre,Q5_Open_Diagnose,"You were asked: How much should Lyle have set aside for emergency savings? The options were A) $200 or so, B) One month's rent, C) Three or more months of expenses. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Emergency Fund,diagnose,I said he should have at least three months of expenses because if he were to lose his job or something it may take more than a month to find a new job to get money to pay for rent.,50.00,3,2026-02-03 21:24:27.612037+00
1086e50b-ceab-4966-bc7f-0d3854cce547,pre,Q30_Open_Diagnose,"You were asked: An investment with a high return is likely to be high risk. True or false? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Risk-Return Tradeoff,diagnose,"I answered false because this may not always be the case. The higher the risk the higher return still holds to be true, but sometimes in a rare case I think a stock can experience high growth and stay high, or maybe mellow out but I dont think you loose money every time its high risk.",50.00,2,2026-02-05 22:33:52.585139+00
1086e50b-ceab-4966-bc7f-0d3854cce547,pre,Q8_Open_Diagnose,"You were asked: What can Jayden likely negotiate with an auto loan lender? Options were A) Interest rate only, B) Down payment only, C) Both, D) Neither. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Auto Loans,diagnose,"I think I said Interest rate, honestly I just guessed I am unsure of what you can negotiate.",50.00,2,2026-02-05 22:33:12.200591+00
1234cacb-bcb2-44c2-be52-cbaf8b355857,pre,Q36_Open_Diagnose,"You were asked: Is it less likely you'll lose all your money if you save it in more than one place? You answered ""False"" with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Investment & Risk,Diversification Principle,diagnose,because if you put all your money in one place theres more of a chance of loosing it all whereas if you have it ditributed around you have backups incase something happens to wherever youre keeping your money,50.00,3,2026-02-05 16:22:05.390525+00
1234cacb-bcb2-44c2-be52-cbaf8b355857,pre,Q5_Open_Diagnose,"You were asked: How much should Lyle have set aside for emergency savings? The options were A) $200 or so, B) One month's rent, C) Three or more months of expenses. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Emergency Fund,diagnose,one months rent would allow him a place to live for a month in the event of an emergency which he would be in a home at least ,50.00,2,2026-02-05 16:19:51.874579+00
1234cacb-bcb2-44c2-be52-cbaf8b355857,pre,Q6_Open_Diagnose,"You were asked: A successful effort to lower inflation would likely be accompanied by which of the following? Options were A) A decrease in the general level of prices, B) A slower increase in prices, C) An increase in employment. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Inflation (Lowering),diagnose,decrease in the general level of prices lowers inflation it made the most logical sense to me,50.00,2,2026-02-05 16:21:07.009921+00
1270f08f-9bf5-4f24-a9c7-28f43a62615f,pre,Q6_Open_Diagnose,"You were asked: A successful effort to lower inflation would likely be accompanied by which of the following? Options were A) A decrease in the general level of prices, B) A slower increase in prices, C) An increase in employment. You answered [student's answer] with high confidence. In 1-2 sentences, explain your reasoning for that answer.",Borrowing & Credit,Inflation (Lowering),diagnose,A decrease in the general level of prices because inflation causes prices to increase.,50.00,2,2026-02-09 00:30:04.204291+00
139b1fb2-046b-40ab-9180-907447fed82b,pre,Q11_Open_Confirm,"You were asked whether buying a single company's stock is safer than a stock mutual fund. You answered ""False,"" which is correct. In 1-2 sentences, explain why a mutual fund is generally safer than a single stock.",Risk Management,Diversification (Stock vs Fund),confirm,"I don’t know what a mutual fund is but I know that you shouldn’t buy just one single stock, you should diversify your portfolio.",50.00,3,2026-02-09 05:34:24.740244+00
