response_id,attempt_id,item_id,anchor_item_id,domain,subdomain,type,variant_type,raw_answer,score,confidence,ai_confidence,created_at
7d440a97-1697-4ed7-8d20-a664304ba65e,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q19,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,3,,2026-04-17 19:31:57.241936+00
76a05c1d-bc08-4785-9bba-b4847a94146c,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q2,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Borrowing/Mortgages,multiple_choice,,"""A""",100.00,3,,2026-04-17 19:32:18.604457+00
a80fd12f-a9da-4479-8e4d-87f5d22131bf,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q20,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""D""",,3,,2026-04-17 19:32:22.433068+00
d286e3aa-fceb-43f8-97f3-d358bd92d4d5,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q21,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""A""",,3,,2026-04-17 19:32:32.704935+00
351a020c-de99-46cc-9de7-515fae53289b,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q22,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""B""",,3,,2026-04-17 19:32:42.96884+00
76bfba15-8d9f-4cc0-a2dd-15d5ff606ec5,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q23,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,2,,2026-04-17 19:32:45.52443+00
b55d124a-8296-4858-8df2-25da544e70de,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q24,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""B""",,3,,2026-04-17 19:32:53.873888+00
bb481131-80ff-4b73-9fcf-70b9ef4dde00,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q25,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,2,,2026-04-17 19:32:59.786094+00
e4b603cb-6679-40af-a7fd-638dbb0e7a50,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q26,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""D""",,3,,2026-04-17 19:33:25.256202+00
345a22a0-f6d5-415d-a0dd-b16e3288728f,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q27,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,3,,2026-04-17 19:33:32.352674+00
319071ef-51f3-4f64-89f7-743db8326e85,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q28,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""B""",,3,,2026-04-17 19:33:41.890457+00
f5a4429d-aaff-4ba7-b82d-75dfc60e04b7,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q29,,Risk and Return Knowledge,Interest Rates & Bonds,multiple_choice,,"""B""",100.00,3,,2026-04-17 19:33:55.249597+00
ab87823b-2261-4fc8-966f-c7e6568e07c3,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q3,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation,multiple_choice,,"""A""",100.00,3,,2026-04-17 19:34:08.016688+00
34ec63fd-6d05-429d-886a-826a9d3f76d6,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q30,,Risk and Return Knowledge,Risk-Return Tradeoff,multiple_choice,,"""A""",100.00,3,,2026-04-17 19:34:19.352802+00
e4a0f89f-dbe2-4452-808d-d67d9e9024b3,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q31,,Risk and Return Knowledge,Stock Market Function,multiple_choice,,"""C""",100.00,3,,2026-04-17 19:34:28.80742+00
37f38aa7-30ff-4a5c-9b49-e2782981a263,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q32,,Risk and Return Knowledge,Long-Term Asset Returns,multiple_choice,,"""C""",100.00,3,,2026-04-17 19:34:40.261418+00
e2411666-84d9-4bb4-aa17-22183122a33c,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q33,,Risk and Return Knowledge,Probability (% to Count),multiple_choice,,"""C""",100.00,3,,2026-04-17 19:34:49.785722+00
18197935-688c-4022-8a40-df3fb302959c,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q34,,Risk and Return Knowledge,Diversification Effect,multiple_choice,,"""B""",100.00,2,,2026-04-17 19:34:57.543085+00
bd968dda-89ac-4a2d-b2ea-ea135521fcbe,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q35,,Risk and Return Knowledge,Risk-Return Relationship,multiple_choice,,"""A""",100.00,2,,2026-04-17 19:35:04.705961+00
f00cf6ab-c738-434b-901c-caa93202098c,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q36,,Risk and Return Knowledge,Diversification Principle,multiple_choice,,"""A""",100.00,3,,2026-04-17 19:35:12.419937+00
4511bc41-4c7a-4864-acd2-73b6943a0f29,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q37,,Risk and Return Knowledge,Insurance Types,multiple_choice,,"""C""",100.00,2,,2026-04-17 19:35:25.204674+00
b8ad648c-6126-478a-94b9-91526f5bb21e,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q38,,Risk and Return Knowledge,Inflation Protection,multiple_choice,,"""D""",100.00,2,,2026-04-17 19:35:32.901307+00
cea0d667-da82-4c95-8d63-b7c960436707,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q39,,Risk and Return Knowledge,Stocks vs Bonds Risk,multiple_choice,,"""A""",100.00,3,,2026-04-17 19:35:42.887359+00
f91e3734-dd8c-45fc-ace6-4ea445a7140d,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q4,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Borrowing/Interest,multiple_choice,,"""B""",100.00,2,,2026-04-17 19:36:28.198822+00
7be8146b-1ced-4be5-980f-60dc01157e3b,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q40,,Risk and Return Knowledge,2008 Financial Crisis,multiple_choice,,"""B""",100.00,2,,2026-04-17 19:36:36.517059+00
6a293a45-007c-4760-a9aa-b6825f8e409e,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q5,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Emergency Fund,multiple_choice,,"""C""",100.00,3,,2026-04-17 19:36:47.984148+00
6d931f2c-ccb3-4bbe-9300-7d5ed49ee10f,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q6,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation (Lowering),multiple_choice,,"""B""",100.00,2,,2026-04-17 19:36:58.720475+00
d6a0beed-e020-4ff0-ac56-27fdb0fe4919,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q7,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation (Fixed Income),multiple_choice,,"""C""",100.00,3,,2026-04-17 19:37:06.621849+00
fdb2d090-e315-4254-82a3-eaa10d08e380,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q8,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Auto Loans,multiple_choice,,"""C""",100.00,3,,2026-04-17 19:37:13.385784+00
afb9ba5f-a903-42b4-93e1-42c79b3f65d6,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q9,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Budgeting,multiple_choice,,"""A""",100.00,2,,2026-04-17 19:37:25.34737+00
6ac70f95-0b3f-4961-884c-5befac02ea65,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q6_Same_MCQ,Q6,Borrowing & Credit,Inflation (Lowering),multiple_choice,Same_MCQ,"""C""",0.00,3,,2026-04-17 19:37:34.230472+00
c5b7c30e-fe32-468a-9eaf-d96bba2b53f9,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q9_Same_MCQ,Q9,Borrowing & Credit,Budgeting,multiple_choice,Same_MCQ,"""A""",100.00,3,,2026-04-17 19:37:44.827764+00
9656b7f8-a7e7-478f-b71d-c5adb1eeaf09,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q40_Same_MCQ,Q40,Investment & Risk,2008 Financial Crisis,multiple_choice,Same_MCQ,"""B""",100.00,1,,2026-04-17 19:37:56.116704+00
3ae3255d-8d8d-415c-93ad-33547214467e,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q11_Higher_MCQ,Q11,Risk Management,Diversification (Stock vs Fund),multiple_choice,Higher_MCQ,"""A""",100.00,3,,2026-04-17 19:38:04.079857+00
03d6cfdb-115e-4bf5-8ebe-75234aa1654d,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q14_Higher_MCQ,Q14,Risk Management,Diversification Principle,multiple_choice,Higher_MCQ,"""A""",100.00,3,,2026-04-17 19:38:16.098005+00
b94b8aa8-f60e-4817-a224-5f3cd736e0ff,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q1_Open_Diagnose,Q1,Borrowing & Credit,Compound Interest,short_answer,Open_Diagnose,"""more than 102 dollars. it would grow by two percent each year for five years and I would have more than 102. A""",50.00,3,,2026-04-17 19:38:28.769512+00
4ac474fa-ed0a-4056-854e-825424045f8e,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q35_Open_Confirm,Q35,Investment & Risk,Risk-Return Relationship,short_answer,Open_Confirm,"""If high reward opporunities were low risk - everyone would be rich. Everyone would take out loans to start a business or buy new stocks.""",50.00,3,,2026-04-17 19:39:02.995197+00
8d5e923a-d429-472c-96c7-addd396de08d,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q10_Open_Confirm,Q10,Borrowing & Credit,Credit Reports,short_answer,Open_Confirm,"""many different factors go into/impact your credit report. """,50.00,3,,2026-04-17 19:40:08.657584+00
92c0f260-a1f0-416f-aea0-89f557833f2b,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q37_Open_Confirm,Q37,Investment & Risk,Insurance Types,short_answer,Open_Confirm,"""it pays most/part of the damages if an acident occures.""",50.00,3,,2026-04-17 19:40:27.523733+00
5170cfaf-8d44-4fac-856a-a77477799b1d,012e90e5-1deb-43d0-bd70-a3c46079a58b,Q4_Open_Confirm,Q4,Borrowing & Credit,Borrowing/Interest,short_answer,Open_Confirm,"""the amount of money stays the same""",50.00,3,,2026-04-17 19:40:46.940382+00
e0a0bddd-7ece-427a-9834-b4cf776b92f8,01626c30-06bb-43c7-8750-b8e23047f354,Q1,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Compound Interest,multiple_choice,,"""A""",100.00,3,,2026-04-15 00:17:49.785809+00
67c13431-71e3-4fcd-a5ad-fdfcacf205fb,01626c30-06bb-43c7-8750-b8e23047f354,Q10,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Credit Reports,multiple_choice,,"""B""",0.00,3,,2026-04-15 00:18:09.248722+00
e945fcc7-7147-4ff6-94f0-90ae1ef4a2e4,01626c30-06bb-43c7-8750-b8e23047f354,Q11,,Behavioral and Risk Management Knowledge,Risk Diversification,multiple_choice,,"""B""",100.00,3,,2026-04-15 00:18:26.663273+00
09e581b6-90ca-434a-8b17-743cb70f7e38,01626c30-06bb-43c7-8750-b8e23047f354,Q12,,Behavioral and Risk Management Knowledge,Insurance,multiple_choice,,"""A""",100.00,3,,2026-04-15 00:18:39.813003+00
6cc22247-be95-4ae8-ae3a-3575218fcbd1,01626c30-06bb-43c7-8750-b8e23047f354,Q13,,Behavioral and Risk Management Knowledge,Insurance,multiple_choice,,"""C""",0.00,3,,2026-04-15 00:20:00.917698+00
617d052c-5671-4b40-a638-a303cbbefee9,01626c30-06bb-43c7-8750-b8e23047f354,Q14,,Behavioral and Risk Management Knowledge,Risk Diversification,multiple_choice,,"""B""",100.00,3,,2026-04-15 00:20:13.750416+00
a41db6ec-1294-4341-b971-c320675ce06b,01626c30-06bb-43c7-8750-b8e23047f354,Q15,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""B""",,3,,2026-04-15 00:20:25.191603+00
f3e8d1b8-56f4-4bf5-b216-d703055a54fe,01626c30-06bb-43c7-8750-b8e23047f354,Q16,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""B""",,3,,2026-04-15 00:20:38.078775+00
29cb5651-7405-478b-a0cf-4f72241d5c3d,01626c30-06bb-43c7-8750-b8e23047f354,Q17,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""A""",,3,,2026-04-15 00:20:53.516131+00
dfb5d97a-cf01-469a-a273-4346737e364c,01626c30-06bb-43c7-8750-b8e23047f354,Q18,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,3,,2026-04-15 00:20:59.406504+00
2e7f00d1-bb4f-4c2c-804e-ac5d5cb2429f,01626c30-06bb-43c7-8750-b8e23047f354,Q19,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,3,,2026-04-15 00:21:05.513184+00
dd0f4585-5e43-42ea-b44e-a200105cf1c5,01626c30-06bb-43c7-8750-b8e23047f354,Q2,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Borrowing/Mortgages,multiple_choice,,"""A""",100.00,3,,2026-04-15 00:21:21.534204+00
4d84f40c-6251-4ce6-a733-8e7222d46f50,01626c30-06bb-43c7-8750-b8e23047f354,Q20,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""D""",,3,,2026-04-15 00:21:25.866177+00
d16025a9-9362-45de-8bad-1664fb148687,01626c30-06bb-43c7-8750-b8e23047f354,Q21,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""A""",,3,,2026-04-15 00:21:35.132388+00
341c3e69-107f-4a12-a8d8-dbb55c3f7e99,01626c30-06bb-43c7-8750-b8e23047f354,Q22,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""A""",,3,,2026-04-15 00:21:45.070526+00
ab8ec027-bb72-437e-89ab-7e06c496f83b,01626c30-06bb-43c7-8750-b8e23047f354,Q23,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""B""",,3,,2026-04-15 00:21:51.393852+00
f2c12bfb-2b0a-421d-a6ec-ad5757212605,01626c30-06bb-43c7-8750-b8e23047f354,Q24,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,3,,2026-04-15 00:21:59.714933+00
29436284-5ef2-4d04-9cf0-43d6ccd88640,01626c30-06bb-43c7-8750-b8e23047f354,Q25,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,3,,2026-04-15 00:22:10.681977+00
d02a48cc-6a30-4853-952e-f1c2f0acef60,01626c30-06bb-43c7-8750-b8e23047f354,Q26,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""D""",,3,,2026-04-15 00:22:16.385638+00
6a847a4a-f0f0-40b1-8a9b-7ffafde59f11,01626c30-06bb-43c7-8750-b8e23047f354,Q27,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,3,,2026-04-15 00:22:28.329878+00
321e9c0f-0aee-436d-af21-b12aadc7060c,01626c30-06bb-43c7-8750-b8e23047f354,Q28,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""C""",,3,,2026-04-15 00:22:40.384439+00
b4eb4db1-f86a-47ec-a8ac-bfc7abb7c499,01626c30-06bb-43c7-8750-b8e23047f354,Q29,,Risk and Return Knowledge,Interest Rates & Bonds,multiple_choice,,"""B""",100.00,3,,2026-04-15 00:22:48.813232+00
eb693c68-d041-4522-96ec-2abf5036fca9,01626c30-06bb-43c7-8750-b8e23047f354,Q3,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation,multiple_choice,,"""A""",100.00,3,,2026-04-15 00:22:55.913476+00
8f80f2c8-7a41-4803-98c0-e6e4785de539,01626c30-06bb-43c7-8750-b8e23047f354,Q30,,Risk and Return Knowledge,Risk-Return Tradeoff,multiple_choice,,"""A""",100.00,3,,2026-04-15 00:23:02.192761+00
09b81a65-2a83-4959-8aed-1da0df2efb5d,01626c30-06bb-43c7-8750-b8e23047f354,Q31,,Risk and Return Knowledge,Stock Market Function,multiple_choice,,"""C""",100.00,3,,2026-04-15 00:23:14.680306+00
b0651052-4959-42df-b444-6a8b073472c1,01626c30-06bb-43c7-8750-b8e23047f354,Q32,,Risk and Return Knowledge,Long-Term Asset Returns,multiple_choice,,"""B""",0.00,2,,2026-04-15 00:23:24.518424+00
c0ef47c6-72a8-4faa-b1ff-12df36d1b794,01626c30-06bb-43c7-8750-b8e23047f354,Q33,,Risk and Return Knowledge,Probability (% to Count),multiple_choice,,"""C""",100.00,3,,2026-04-15 00:23:50.429584+00
4ea17b80-1669-4bec-86bd-ac68e8a98d93,01626c30-06bb-43c7-8750-b8e23047f354,Q34,,Risk and Return Knowledge,Diversification Effect,multiple_choice,,"""B""",100.00,3,,2026-04-15 00:24:10.434145+00
f48d37d8-a514-480b-aeae-162ba1881507,01626c30-06bb-43c7-8750-b8e23047f354,Q35,,Risk and Return Knowledge,Risk-Return Relationship,multiple_choice,,"""A""",100.00,3,,2026-04-15 00:24:18.899575+00
f8797f37-dd42-42f9-995f-a208efa3888d,01626c30-06bb-43c7-8750-b8e23047f354,Q36,,Risk and Return Knowledge,Diversification Principle,multiple_choice,,"""A""",100.00,3,,2026-04-15 00:24:25.800154+00
86742b26-81da-41e9-ae96-8f06dcd6014b,01626c30-06bb-43c7-8750-b8e23047f354,Q37,,Risk and Return Knowledge,Insurance Types,multiple_choice,,"""C""",100.00,3,,2026-04-15 00:24:44.748937+00
d2f633ff-08ef-41ca-a155-b3ac7161b2b1,01626c30-06bb-43c7-8750-b8e23047f354,Q38,,Risk and Return Knowledge,Inflation Protection,multiple_choice,,"""B""",0.00,2,,2026-04-15 00:25:25.778853+00
62a998fe-3200-460b-8107-9e85fed60276,01626c30-06bb-43c7-8750-b8e23047f354,Q39,,Risk and Return Knowledge,Stocks vs Bonds Risk,multiple_choice,,"""A""",100.00,2,,2026-04-15 00:25:35.579232+00
d3e7da07-0c84-4067-b967-b5fe4365b3ac,01626c30-06bb-43c7-8750-b8e23047f354,Q4,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Borrowing/Interest,multiple_choice,,"""B""",100.00,3,,2026-04-15 00:25:44.199738+00
951961eb-eba6-4688-8ece-69fb22bf6ee4,01626c30-06bb-43c7-8750-b8e23047f354,Q40,,Risk and Return Knowledge,2008 Financial Crisis,multiple_choice,,"""B""",100.00,3,,2026-04-15 00:25:53.92334+00
d4d1595e-f9d6-4c4f-b6d2-163de5414e2d,01626c30-06bb-43c7-8750-b8e23047f354,Q5,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Emergency Fund,multiple_choice,,"""C""",100.00,2,,2026-04-15 00:26:09.512294+00
d97c28eb-c9cf-4a31-a37f-fa2e835b861d,01626c30-06bb-43c7-8750-b8e23047f354,Q6,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation (Lowering),multiple_choice,,"""C""",0.00,3,,2026-04-15 00:26:26.671896+00
76e62586-b428-413b-b84e-caa265cf2682,01626c30-06bb-43c7-8750-b8e23047f354,Q7,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Inflation (Fixed Income),multiple_choice,,"""A""",0.00,2,,2026-04-15 00:26:40.345901+00
9168b2ac-f745-49d1-bf37-0607c7ad4b41,01626c30-06bb-43c7-8750-b8e23047f354,Q8,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Auto Loans,multiple_choice,,"""C""",100.00,3,,2026-04-15 00:27:01.513524+00
df47b867-0ee7-4f11-a3c1-35480cbf25c3,01626c30-06bb-43c7-8750-b8e23047f354,Q9,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Budgeting,multiple_choice,,"""A""",100.00,3,,2026-04-15 00:27:17.718023+00
a29c05f0-ac1e-4297-a60c-cae52f291a64,01626c30-06bb-43c7-8750-b8e23047f354,Q7_Lower_MCQ,Q7,Borrowing & Credit,Inflation (Fixed Income),multiple_choice,Lower_MCQ,"""A""",100.00,3,,2026-04-15 00:27:22.445708+00
123718bf-5fa9-456d-a98d-694f6d53f028,01626c30-06bb-43c7-8750-b8e23047f354,Q39_Same_MCQ,Q39,Investment & Risk,Stocks vs Bonds Risk,multiple_choice,Same_MCQ,"""A""",100.00,3,,2026-04-15 00:27:28.21659+00
e83627b5-9b1c-492e-9b41-aa6962c3bd63,01626c30-06bb-43c7-8750-b8e23047f354,Q5_Same_MCQ,Q5,Borrowing & Credit,Emergency Fund,multiple_choice,Same_MCQ,"""C""",100.00,3,,2026-04-15 00:27:32.761817+00
4274d25a-5d43-44dd-8943-8f4c09f16319,01626c30-06bb-43c7-8750-b8e23047f354,Q11_Higher_MCQ,Q11,Risk Management,Diversification (Stock vs Fund),multiple_choice,Higher_MCQ,"""A""",100.00,3,,2026-04-15 00:28:01.540923+00
313f8c2b-a311-4356-b1a6-81ba153f9532,01626c30-06bb-43c7-8750-b8e23047f354,Q3_Higher_MCQ,Q3,Borrowing & Credit,Inflation,multiple_choice,Higher_MCQ,"""A""",0.00,3,,2026-04-15 00:28:13.083007+00
d8f7c03d-9b70-4659-87fa-c2d199be9eba,01626c30-06bb-43c7-8750-b8e23047f354,Q10_Open_Diagnose,Q10,Borrowing & Credit,Credit Reports,short_answer,Open_Diagnose,"""I choose that because A and c arent true""",50.00,2,,2026-04-15 00:28:56.495188+00
d6c63adf-7469-4d7f-8ff7-363b9bd2a4a8,01626c30-06bb-43c7-8750-b8e23047f354,Q6_Open_Diagnose,Q6,Borrowing & Credit,Inflation (Lowering),short_answer,Open_Diagnose,"""Because inflation is the rise of general prices. And high employment often has a postive relationship with deflation """,50.00,3,,2026-04-15 00:29:28.268485+00
2c8ba66a-b92f-4561-a242-d3820d653a85,01626c30-06bb-43c7-8750-b8e23047f354,Q13_Open_Diagnose,Q13,Risk Management,Insurance Deductible,short_answer,Open_Diagnose,"""Im not really sure""",50.00,1,,2026-04-15 00:30:51.464034+00
2ee59f81-c21c-4d7a-af0f-daf138b30454,01626c30-06bb-43c7-8750-b8e23047f354,Q38_Open_Diagnose,Q38,Investment & Risk,Inflation Protection,short_answer,Open_Diagnose,"""Im not really sure""",50.00,1,,2026-04-15 00:31:10.010819+00
bc4d12e2-1996-45d9-b885-37fb1723348d,01626c30-06bb-43c7-8750-b8e23047f354,Q32_Open_Diagnose,Q32,Investment & Risk,Long-Term Asset Returns,short_answer,Open_Diagnose,"""Im not really sure """,50.00,1,,2026-04-15 00:31:18.497675+00
c84a9724-e90c-42c0-b7a3-12a8968849b8,02bc7f63-7fe6-441c-b900-b50383cf2a4d,Q1,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Compound Interest,multiple_choice,,"""A""",100.00,1,,2026-04-17 19:07:05.894903+00
e17d2d36-02ce-4111-9745-572cb20bc23e,02bc7f63-7fe6-441c-b900-b50383cf2a4d,Q11,,Behavioral and Risk Management Knowledge,Risk Diversification,multiple_choice,,"""C""",0.00,2,,2026-04-17 19:07:13.801565+00
b01edd7c-6c86-49dc-842e-6d4efaf44aba,02bc7f63-7fe6-441c-b900-b50383cf2a4d,Q10,,"Borrowing, Interest Rates, and Financial Numeracy Knowledge",Credit Reports,multiple_choice,,"""D""",0.00,1,,2026-04-17 19:07:13.801565+00
040cdf16-d6a8-44a0-8627-21e23ccaaf15,02bc7f63-7fe6-441c-b900-b50383cf2a4d,Q12,,Behavioral and Risk Management Knowledge,Insurance,multiple_choice,,"""D""",0.00,2,,2026-04-17 19:07:18.740113+00
b9d30220-4b46-479f-803e-5bd2e93844fd,02bc7f63-7fe6-441c-b900-b50383cf2a4d,Q13,,Behavioral and Risk Management Knowledge,Insurance,multiple_choice,,"""D""",0.00,2,,2026-04-17 19:07:18.740113+00
1895b99a-a2f8-4c39-b23f-08db379725b4,02bc7f63-7fe6-441c-b900-b50383cf2a4d,Q14,,Behavioral and Risk Management Knowledge,Risk Diversification,multiple_choice,,"""D""",0.00,2,,2026-04-17 19:07:21.289568+00
46f51ab8-5550-4565-998b-69f616952966,02bc7f63-7fe6-441c-b900-b50383cf2a4d,Q15,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""D""",,2,,2026-04-17 19:07:22.868879+00
39bbc254-4780-4d3f-90a5-8f4984687369,02bc7f63-7fe6-441c-b900-b50383cf2a4d,Q16,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""D""",,2,,2026-04-17 19:07:29.415203+00
59b6700d-73a0-42ed-a6ea-4e6c87cb21c3,02bc7f63-7fe6-441c-b900-b50383cf2a4d,Q17,,Behavioral and Risk Management Knowledge,Financial Attitudes and Preferences,multiple_choice,,"""D""",,2,,2026-04-17 19:07:29.415203+00
